ajo110	512	32	0	1060.14
ajo110	512	32	1	688.27
ajo110	512	32	2	719.50
ajo110	512	32	3	759.89
ajo110	512	32	4	760.14
ajo110	512	32	5	832.01
ajo110	512	32	6	895.75
ajo110	512	32	7	1040.16
ajo110	128	8	0	1071.89
ajo110	128	8	1	936.12
ajo110	128	8	2	639.73
ajo110	128	8	3	975.84
ajo110	128	8	4	1168.35
ajo110	128	8	5	799.73
ajo110	128	8	6	792.02
ajo110	128	8	7	848.09
ajo110	128	4	0	863.87
ajo110	128	4	1	1232.06
ajo110	128	4	2	1231.95
ajo110	128	4	3	719.78
ajo110	128	4	4	1055.39
ajo110	128	4	5	991.88
ajo110	128	4	6	944.81
ajo110	128	4	7	1064.11
ajo110	256	16	0	1031.65
ajo110	256	16	1	736.14
ajo110	256	16	2	648.07
ajo110	256	16	3	847.77
ajo110	256	16	4	976.00
ajo110	256	16	5	872.04
ajo110	256	16	6	952.12
ajo110	256	16	7	903.94
ajo110	256	4	0	1039.72
ajo110	256	4	1	688.22
ajo110	256	4	2	1223.97
ajo110	256	4	3	1071.95
ajo110	256	4	4	615.95
ajo110	256	4	5	663.44
ajo110	256	4	6	1047.87
ajo110	256	4	7	984.57
ajo110	64	4	0	1143.88
ajo110	64	4	1	1079.96
ajo110	64	4	2	1080.08
ajo110	64	4	3	1143.91
ajo110	64	4	4	1416.23
ajo110	64	4	5	823.99
ajo110	64	4	6	2318.95
ajo110	64	4	7	1248.99
ajo110	512	16	0	1607.78
ajo110	512	16	1	879.87
ajo110	512	16	2	1112.19
ajo110	512	16	3	1031.84
ajo110	512	16	4	983.77
ajo110	512	16	5	1264.31
ajo110	512	16	6	887.68
ajo110	512	16	7	951.84
ajo110	256	8	0	1088.37
ajo110	256	8	1	1039.84
ajo110	256	8	2	936.04
ajo110	256	8	3	863.87
ajo110	256	8	4	1551.55
ajo110	256	8	5	1184.51
ajo110	256	8	6	1079.76
ajo110	256	8	7	720.04
ajo110	64	8	0	1216.24
ajo110	64	8	1	983.82
ajo110	64	8	2	863.96
ajo110	64	8	3	664.47
ajo110	64	8	4	655.93
ajo110	64	8	5	703.58
ajo110	64	8	6	831.95
ajo110	64	8	7	789.97
ajo110	64	32	0	689.96
ajo110	64	32	1	544.01
ajo110	64	32	2	599.99
ajo110	64	32	3	415.87
ajo110	64	32	4	416.12
ajo110	64	32	5	495.98
ajo110	64	32	6	687.95
ajo110	64	32	7	503.95
ajo110	512	4	0	1159.81
ajo110	512	4	1	1192.02
ajo110	512	4	2	1440.00
ajo110	512	4	3	775.98
ajo110	512	4	4	1528.09
ajo110	512	4	5	3423.82
ajo110	512	4	6	1408.12
ajo110	512	4	7	1007.82
ajo110	512	8	0	856.14
ajo110	512	8	1	2695.77
ajo110	512	8	2	1160.44
ajo110	512	8	3	1015.44
ajo110	512	8	4	1080.15
ajo110	512	8	5	3768.13
ajo110	512	8	6	1143.81
ajo110	512	8	7	927.87
ajo110	128	16	0	976.12
ajo110	128	16	1	871.76
ajo110	128	16	2	744.01
ajo110	128	16	3	672.29
ajo110	128	16	4	1279.02
ajo110	128	16	5	544.90
ajo110	128	16	6	823.82
ajo110	128	16	7	1015.88
ajo110	64	16	0	855.45
ajo110	64	16	1	464.50
ajo110	64	16	2	424.06
ajo110	64	16	3	679.84
ajo110	64	16	4	784.33
ajo110	64	16	5	744.03
ajo110	64	16	6	687.39
ajo110	64	16	7	1000.20
ajo110	128	32	0	703.93
ajo110	128	32	1	696.01
ajo110	128	32	2	599.93
ajo110	128	32	3	519.98
ajo110	128	32	4	759.91
ajo110	128	32	5	576.22
ajo110	128	32	6	656.00
ajo110	128	32	7	695.58
ajo110	256	32	0	767.78
ajo110	256	32	1	960.40
ajo110	256	32	2	831.79
ajo110	256	32	3	728.08
ajo110	256	32	4	800.26
ajo110	256	32	5	647.57
ajo110	256	32	6	687.99
ajo110	256	32	7	767.74
ajo110	256	8	0	1629.98
ajo110	256	8	1	1191.76
ajo110	256	8	2	2056.06
ajo110	256	8	3	1544.01
ajo110	256	8	4	1063.92
ajo110	256	8	5	1439.79
ajo110	256	8	6	1135.89
ajo110	256	8	7	1159.94
ajo110	512	4	0	1440.30
ajo110	512	4	1	1471.96
ajo110	512	4	2	1367.91
ajo110	512	4	3	1255.89
ajo110	512	4	4	1895.95
ajo110	512	4	5	1344.04
